OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
64,Lolo National Forest,170102130514,Clark Fork River-Ashley Creek,Functioning Properly,18123.9,46,54,Fair,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,8408.189
232,Beaverhead-Deerlodge National Forest,100200050201,Upper Big Pipestone Creek,Functioning at Risk,34752.0,86,15,Fair,Good,Poor,Good,Fair,Poor,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,29712.675000000003
237,Custer Gallatin National Forest,101303010104,Upper Crooked Creek,Functioning Properly,18033.100000000002,16,84,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,2962.465
277,Flathead National Forest,170102090702,Buck Creek,Functioning Properly,11373.5,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,11368.793
318,Helena-Lewis And Clark National Forest,100302010103,Upper South Fork Two Medicine River,Functioning Properly,22839.3,100,0,Poor,Good,Good,Good,Good,Good,Poor,Poor,Poor,Good,Poor,Fair,,,,,,,,,,,,0115,,,,22839.274
410,Helena-Lewis And Clark National Forest,100301030701,Upper Eagle Creek,Functioning Properly,13298.300000000001,65,35,Poor,Fair,Good,Good,Good,Fair,Good,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,8654.068000000001
418,Custer Gallatin National Forest,100700020102,Mulherin Creek,Functioning Properly,18355.100000000002,35,65,Fair,Good,Fair,Fair,Fair,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,6392.828
433,Helena-Lewis And Clark National Forest,100302050104,Lower North Fork Teton River,Functioning Properly,11086.1,67,33,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,7425.04
501,Helena-Lewis And Clark National Forest,100301030102,Stud Horse Creek-North Fork Smith River,Functioning at Risk,29526.8,63,37,Poor,Fair,Good,Fair,Fair,Poor,Fair,Good,Fair,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,18638.021
534,Nez Perce-Clearwater National Forest,170602071103,Bull Creek-Salmon River,Functioning Properly,28096.4,99,1,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0117,,,,27936.678
753,Lolo National Forest,170102130604,Wilkes Creek,Functioning Properly,10106.6,96,4,Fair,Fair,Good,Good,Good,Fair,Good,Fair,Good,Fair,Fair,----,,,,,,,,,,,,0116,,,,9688.292000000001
813,Helena-Lewis And Clark National Forest,100301030605,Ellis Canyon,Functioning at Risk,10560.4,18,82,Fair,Fair,Good,Good,Fair,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,1906.6180000000002
914,Custer Gallatin National Forest,100200080902,Rocky Creek,Functioning Properly,21993.4,19,81,Fair,Good,Poor,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,4154.087
948,Nez Perce-Clearwater National Forest,170603050103,Middle Red River,Functioning at Risk,23132.0,92,8,Good,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Good,Fair,Good,Good,,,,,,,,,,,,0117,,,,21310.992
1099,Helena-Lewis And Clark National Forest,100301010104,Hay Creek,Functioning at Risk,9486.5,37,63,Fair,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,3533.2360000000003
